package	version	commands	purpose
thc-pptp-bruter	0.1.4-1kali5	thc-pptp-bruter	THC PPTP Brute Force
theharvester	4.11.1-0kali1	restfulHarvest,theHarvester,theharvester	tool for gathering e-mail accounts and subdomain names from public sources
traceroute	1:2.1.6-1	lft.db,tcptraceroute.db,traceproto.db,traceroute-nanog,traceroute.db,traceroute6.db	Traces the route taken by packets over an IPv4/IPv6 network
udptunnel	1.1-12+b1	udptunnel	tunnel UDP packets over a TCP connection
unar		-	
unix-privesc-check	1.4-0kali1	unix-privesc-check	Script to check for simple privilege escalation vectors
upx-ucl	4.2.4-1.1	upx-ucl	efficient live-compressor for executables
vboot-kernel-utils	0~R106-15054.B+dfsg-0.1	futility,vbutil_kernel	Chrome OS verified boot utils required to sign kernels
vboot-utils	0~R106-15054.B+dfsg-0.1	chromeos-tpm-recovery,crossystem,dev_debug_vboot,dumpRSAPublicKey,dump_fmap,dump_kernel_config,enable_dev_usb_boot,gbb_utility,tpm-nvsize,tpmc,vbutil_firmware,vbutil_key,vbutil_keyblock	Chrome OS verified u-boot utilities
vim-nox		-	
vlan	2.0.5+nmu3	vconfig	ifupdown legacy integration for vlan configuration
voiphopper	2.04-1kali7	voiphopper	Runs a VLAN hop security test
vpnc	0.5.3+git20260629-1	cisco-decrypt,pcf2vpnc,vpnc,vpnc-connect,vpnc-disconnect	Cisco-compatible VPN client
wafw00f	2.4.2-1	wafw00f	identify and fingerprint Web Application Firewall products
wce	1.42-beta-0kali4	wce	Windows Credentials Editor
webshells	1.1+kali8	webshells	Collection of webshells
weevely	4.0.2-1	weevely	Stealth tiny web shell
wfuzz	3.1.0-6	wfuzz	Web application bruteforcer
whatweb	0.6.4-1	whatweb	Next generation web scanner
whois	5.6.6	mkpasswd,whois	intelligent WHOIS client
wifite	2.8.2-1	wifite	Python script to automate wireless auditing using aircrack-ng tools
windows-binaries	0.6.10	windows-binaries,windows-resources	Various pentesting Windows binaries
wireshark	4.6.6-1	wireshark	network traffic analyzer - graphical interface
wordlists	2026.2.0	wordlists	Contains the rockyou wordlist
wpscan	4.1.0-0kali1	wpscan	Black box WordPress vulnerability scanner
xxd	2:9.2.0858-1	xxd	tool to make (or reverse) a hex dump
