libldb2:amd64	2:2.11.0+samba4.24.5+dfsg-1	ii 
liblerc4:amd64	4.2.0+ds-1	ii 
liblilv-0-0:amd64	0.28.0-2	ii 
liblinear4:amd64	2.3.0+dfsg-5+b3	ii 
libllvm21:amd64	1:21.1.8-10	ii 
libllvmspirvlib21.1:amd64	21.1.5-1	ii 
liblmdb0:amd64	0.9.35-1	ii 
liblocale-gettext-perl	1.07-10+b1	ii 
liblsan0:amd64	16.2.0-1	ii 
liblsof0	4.99.4+dfsg-2	ii 
liblua5.3-0:amd64	5.3.6-4+b1	ii 
liblua5.4-0:amd64	5.4.8-2	ii 
libluajit-5.1-2:amd64	2.1.0+openresty20251030-1+b2	ii 
libluajit-5.1-common	2.1.0+openresty20251030-1	ii 
liblwp-mediatypes-perl	6.04-2	ii 
liblwp-protocol-https-perl	6.15-1	ii 
liblz4-1:amd64	1.10.0-10	ii 
liblzma5:amd64	5.8.3-1	ii 
liblzo2-2:amd64	2.10-3+b2	ii 
libmagic-mgc	1:5.47-4	ii 
libmagic1t64:amd64	1:5.47-4	ii 
libmariadb3:amd64	1:11.8.8-1	ii 
libmaxminddb0:amd64	1.13.3-1	ii 
libmd0:amd64	1.2.0-2	ii 
libmd4c0:amd64	0.5.3-1	ii 
libmemcached11t64:amd64	1.1.4-1.2	ii 
libminizip1t64:amd64	1:1.3.dfsg+really1.3.2-3	ii 
libmnl0:amd64	1.0.5-3+b2	ii 
libmongoc2-2	2.5.0-1	ii 
libmongocrypt0:amd64	1.20.2-1	ii 
libmosquitto1:amd64	2.1.2-3	ii 
libmotif-common	2.3.8-5	ii 
libmount1:amd64	2.42.2-2	ii 
libmp3lame0:amd64	4.0-1	ii 
libmpc3:amd64	1.3.1-3	ii 
libmpfr6:amd64	4.2.2-3	ii 
libmpg123-0t64:amd64	1.33.7-1	ii 
libmtdev1t64:amd64	1.1.7-1+b2	ii 
libmysofa1:amd64	1.3.5+dfsg-1	ii 
libncurses6:amd64	6.6+20260608-2	ii 
libncursesw6:amd64	6.6+20260608-2	ii 
libneon27t64-gnutls:amd64	0.37.1-1	ii 
libnet-cidr-perl	0.27-1	ii 
libnet-dns-perl	1.56-1	ii 
libnet-http-perl	6.24-1	ii 
libnet-ip-perl	1.26-4	ii 
libnet-netmask-perl	2.0003-1	ii 
libnet-server-perl	2.018-1	ii 
libnet-snmp-perl	6.0.1-8	ii 
libnet-ssleay-perl:amd64	1.96-1+b1	ii 
libnet-whois-ip-perl	1.19-3	ii 
libnet9:amd64	1.3+dfsg-3+b1	ii 
libnetfilter-conntrack3:amd64	1.1.1-1	ii 
libnetfilter-queue1:amd64	1.0.5-4+b2	ii 
libnettle8t64:amd64	3.10.2-1+b1	ii 
libnfnetlink0:amd64	1.0.2-3+b2	ii 
libnfsidmap1:amd64	1:2.9.2-1	ii 
libnghttp2-14:amd64	1.70.0-1	ii 
libnghttp3-9:amd64	1.17.0-1	ii 
libngtcp2-16:amd64	1.24.0-1	ii 
libngtcp2-crypto-gnutls8:amd64	1.24.0-1	ii 
libngtcp2-crypto-ossl0:amd64	1.24.0-1	ii 
libnids1.21t64:amd64	1.26-3+b1	ii 
libnl-3-200:amd64	3.12.0-2+b1	ii 
libnl-genl-3-200:amd64	3.12.0-2+b1	ii 
libnl-route-3-200:amd64	3.12.0-2+b1	ii 
libnm0:amd64	1.58.0-2	ii 
libnorm1t64:amd64	1.5.9+dfsg-4+b1	ii 
libnsl3:amd64	2.0.1-2	ii 
libnspr4:amd64	2:4.39-1	ii 
libnss3:amd64	2:3.126-1	ii 
libntfs-3g90:amd64	1:2026.7.7-2	ii 
libntlm0:amd64	1.8-6+b2	ii 
libnuma1:amd64	2.0.19-1+b2	ii 
libnumber-bytes-human-perl	0.11-4	ii 
libobjc-15-dev:amd64	15.3.0-2	ii 
libobjc4:amd64	16.2.0-1	ii 
libogg0:amd64	1.3.6-2+b1	ii 
libonig5:amd64	6.9.10-1+b1	ii 
libonnx1l:amd64	1.20.0-6	ii 
libonnxruntime-providers:amd64	1.23.2+dfsg-6+b5	ii 
libonnxruntime1.23:amd64	1.23.2+dfsg-6+b5	ii 
libopenal-data	1:1.25.2-1	ii 
libopenal1:amd64	1:1.25.2-1	ii 
libopencore-amrnb0:amd64	0.1.6-1+b3	ii 
libopengl0:amd64	1.7.0-3+b1	ii 
libopenh264-8:amd64	2.6.0+dfsg-2+b2	ii 
libopenjp2-7:amd64	2.5.4-1.1	ii 
libopenmpt0t64:amd64	0.8.9-1	ii 
libopus0:amd64	1.6.1-1+b1	ii 
libopusfile0:amd64	0.12-4+b4	ii 
libout123-0t64:amd64	1.33.7-1	ii 
libp11-kit0:amd64	0.26.5-1	ii 
libpam-modules-bin	1.7.0-8	ii 
libpam-modules:amd64	1.7.0-8	ii 
libpam-runtime	1.7.0-8	ii 
libpam-systemd:amd64	261.2-1	ii 
libpam0g:amd64	1.7.0-8	ii 
libpango-1.0-0:amd64	1.58.0-1	ii 
libpangocairo-1.0-0:amd64	1.58.0-1	ii 
libpangoft2-1.0-0:amd64	1.58.0-1	ii 
libparted2t64:amd64	3.7-1	ii 
libpcap0.8t64:amd64	1.10.6-2	ii 
libpci3:amd64	1:3.15.0-2	ii 
libpciaccess0:amd64	0.19-2	ii 
libpcre2-16-0:amd64	10.46-1+b2	ii 
libpcre2-8-0:amd64	10.46-1+b2	ii 
libpcre2-posix3:amd64	10.46-1+b2	ii 
libpcre3:amd64	2:8.39-15.1	ii 
libpcsclite1:amd64	2.5.1-1	ii 
libperl5.42:amd64	5.42.2-3	ii 
libpgm-5.3-0t64:amd64	5.3.128~dfsg-3	ii 
libpicohttpparser1:amd64	1.2+ds-2	ii 
libpipewire-0.3-0t64:amd64	1.6.8-1	ii 
libpixman-1-0:amd64	0.46.4-1+b2	ii 
libpkcs11-helper1t64:amd64	1.31.0-1+b2	ii 
libpng16-16t64:amd64	1.6.58-1	ii 
libpocl2-common	7.1-9	ii 
libpocl2t64:amd64	7.1-9	ii 
libpod-parser-perl	1.67-1	ii 
libpopt0:amd64	1.19+dfsg-2+b2	ii 
libportaudio2:amd64	19.7.0-1+b1	ii 
libportmidi2:amd64	2:2.0.8-1+b1	ii 
libpostal-data	1.1.4-0kali1	ii 
libpq5:amd64	18.6-3	ii 
libproc2-1:amd64	2:4.0.6-3	ii 
libprotobuf-c1:amd64	1.5.1-1+b2	ii 
libprotobuf-lite32t64:amd64	3.21.12-16	ii 
libprotobuf32t64:amd64	3.21.12-16	ii 
libprotoc32t64:amd64	3.21.12-16	ii 
libproxy1v5:amd64	0.5.12-1+b1	ii 
libproxychains4:amd64	4.17-3.1	ii 
libpsl5t64:amd64	0.23.3-1	ii 
libpthreadpool0:amd64	0.0~git20251020.0e6ca13-1.1	ii 
libpulse0:amd64	17.0+dfsg1-2.1+b2	ii 
libpython3-dev:amd64	3.14.6-1	ii 
